WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:           101                                                                                   |
|  Number of clauses:             212                                                                                   |
|  Parse time:                   0.00 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         0 |       100 |     101      212      636 |       77       99     14 |           0  -          57 |  0.010 %  |
|         1 |       100 |     101      212      636 |       77       91     14 |           0  -          48 |  0.010 %  |
|         3 |       100 |     101      212      636 |       77      105     16 |           0  -          66 |  0.010 %  |
|         2 |       100 |     101      212      636 |       77      115     15 |           0  -          81 |  0.010 %  |
|         1 |       250 |     101      212      636 |       85      105     10 |           0  -         145 |  0.010 %  |
|         0 |       250 |     101      212      636 |       85      134     10 |           0  -         167 |  0.010 %  |
|         3 |       250 |     101      212      636 |       85      137     12 |           0  -         178 |  0.010 %  |
|         2 |       250 |     101      212      636 |       85      126     13 |           0  -         237 |  0.010 %  |
|         0 |       475 |     101      212      636 |       94       91      9 |           0  -         317 |  0.010 %  |
|         1 |       475 |     101      212      636 |       94      118     12 |           0  -         301 |  0.010 %  |
|         3 |       475 |     101      212      636 |       94       95     11 |           0  -         339 |  0.010 %  |
|         2 |       475 |     101      212      636 |       94      105     11 |           0  -         400 |  0.010 %  |
|         0 |       812 |     101      212      636 |      103       84      9 |           0  -         528 |  0.010 %  |
|         1 |       812 |     101      212      636 |      103       86      9 |           0  -         608 |  0.010 %  |
|         3 |       812 |     101      212      636 |      103       97     10 |           0  -         617 |  0.010 %  |
|         2 |       812 |     101      212      636 |      103       96      9 |           0  -         601 |  0.010 %  |
|         0 |      1318 |     101      212      636 |      113       82      9 |           0  -         902 |  0.010 %  |
|         3 |      1318 |     101      212      636 |      113       74      8 |           0  -         996 |  0.010 %  |
|         2 |      1318 |     101      212      636 |      113       67      9 |           0  -         962 |  0.010 %  |
|         1 |      1318 |     101      212      636 |      113       96      9 |           0  -        1076 |  0.010 %  |
|         3 |      2077 |     101      212      636 |      125      166      9 |           0  -        1518 |  0.010 %  |
|         0 |      2077 |     101      212      636 |      125      175     11 |           0  -        1550 |  0.010 %  |
|         2 |      2077 |     101      212      636 |      125      109      9 |           0  -        1535 |  0.010 %  |
|         1 |      2077 |     101      212      636 |      125      151     10 |           0  -        1709 |  0.010 %  |
|         3 |      3216 |     101      212      636 |      137      171     10 |           0  -        2311 |  0.010 %  |
|         0 |      3216 |     101      212      636 |      137       97      9 |           0  -        2438 |  0.010 %  |
|         2 |      3216 |     101      212      636 |      137      176     11 |           0  -        2482 |  0.010 %  |
|         1 |      3216 |     101      212      636 |      137      100      9 |           0  -        2623 |  0.010 %  |
|         1 |      4924 |     101      212      636 |      151       93      9 |           0  -        3709 |  0.010 %  |
|         0 |      4924 |     101      212      636 |      151      106      8 |           0  -        3704 |  0.010 %  |
|         3 |      4924 |     101      212      636 |      151      127     10 |           0  -        3680 |  0.010 %  |
|         2 |      4924 |     101      212      636 |      151      140     10 |           0  -        3710 |  0.010 %  |
|         1 |      7486 |     101      212      636 |      166      179     13 |           0  -        5045 |  0.010 %  |
|         3 |      7486 |     101      212      636 |      166      149     10 |           0  -        5273 |  0.010 %  |
|         2 |      7486 |     101      212      636 |      166      179     12 |           0  -        5169 |  0.010 %  |
|         0 |      7486 |     101      212      636 |      166      191     11 |           0  -        5399 |  0.010 %  |
|         1 |     11330 |     101      212      636 |      183      178     11 |           0  -        7200 |  0.010 %  |
|         3 |     11330 |     101      212      636 |      183      198     13 |           0  -        7491 |  0.010 %  |
|         0 |     11330 |     101      212      636 |      183      146     10 |           0  -        7765 |  0.010 %  |
|         2 |     11330 |     101      212      636 |      183      176     11 |           0  -        7679 |  0.010 %  |
|         1 |     17096 |     101      212      636 |      201      153     11 |           0  -       10556 |  0.010 %  |
|         3 |     17096 |     101      212      636 |      201      168     11 |           0  -       10990 |  0.010 %  |
|         0 |     17096 |     101      212      636 |      201      226     12 |           0  -       11055 |  0.010 %  |
|         2 |     17096 |     101      212      636 |      201      129      9 |           0  -       11049 |  0.010 %  |
|         1 |     25745 |     101      212      636 |      221      190     10 |           0  -       15641 |  0.010 %  |
|         0 |     25745 |     101      212      636 |      221      233     10 |           0  -       15946 |  0.010 %  |
|         2 |     25745 |     101      212      636 |      221      199     12 |           0  -       16286 |  0.010 %  |
|         3 |     25745 |     101      212      636 |      221      141      9 |           0  -       16431 |  0.010 %  |
|         0 |     38719 |     101      212      636 |      243      225     12 |           0  -       23102 |  0.010 %  |
|         1 |     38719 |     101      212      636 |      243      182     10 |           0  -       23380 |  0.010 %  |
|         3 |     38719 |     101      212      636 |      243      144      9 |           0  -       23510 |  0.010 %  |
|         2 |     38719 |     101      212      636 |      243      238     12 |           0  -       23960 |  0.010 %  |
|         3 |     58180 |     101      212      636 |      268      283     11 |           0  -       34180 |  0.010 %  |
|         0 |     58180 |     101      212      636 |      268      203     10 |           0  -       34508 |  0.010 %  |
|         1 |     58180 |     101      212      636 |      268      223     11 |           0  -       34683 |  0.010 %  |
|         2 |     58180 |     101      212      636 |      268      170      9 |           0  -       35243 |  0.010 %  |
|         0 |     87372 |     101      212      636 |      295      227     11 |           0  -       49748 |  0.010 %  |
|         3 |     87372 |     101      212      636 |      295      181     10 |           0  -       49816 |  0.010 %  |
|         2 |     87372 |     101      212      636 |      295      205     10 |           0  -       50374 |  0.010 %  |
|         1 |     87372 |     101      212      636 |      295      239     12 |           0  -       50288 |  0.010 %  |
|         0 |    131161 |     101      212      636 |      324      279     10 |           0  -       71592 |  0.010 %  |
|         3 |    131161 |     101      212      636 |      324      248     10 |           0  -       70536 |  0.010 %  |
|         1 |    131161 |     101      212      636 |      324      271     11 |           0  -       73624 |  0.010 %  |
|         2 |    131161 |     101      212      636 |      324      264     10 |           0  -       74351 |  0.010 %  |
|         0 |    196845 |     101      212      636 |      357      340     12 |           0  -      107800 |  0.010 %  |
|         3 |    196845 |     101      212      636 |      357      273     11 |           0  -      105955 |  0.010 %  |
|         2 |    196845 |     101      212      636 |      357      206     10 |           0  -      107771 |  0.010 %  |
|         1 |    196845 |     101      212      636 |      357      211      9 |           0  -      108562 |  0.010 %  |
|         0 |    295371 |     101      212      636 |      392      336     11 |           0  -      155158 |  0.010 %  |
|         3 |    295371 |     101      212      636 |      392      269     11 |           0  -      154732 |  0.010 %  |
|         2 |    295371 |     101      212      636 |      392      223      9 |           0  -      157401 |  0.010 %  |
|         1 |    295371 |     101      212      636 |      392      255     10 |           0  -      159327 |  0.010 %  |
|         0 |    443160 |     101      212      636 |      432      340     13 |           0  -      226759 |  0.010 %  |
|         2 |    443160 |     101      212      636 |      432      365     12 |           0  -      227462 |  0.010 %  |
|         3 |    443160 |     101      212      636 |      432      240     10 |           0  -      226076 |  0.010 %  |
|         1 |    443160 |     101      212      636 |      432      428     13 |           0  -      227329 |  0.010 %  |
|         2 |    664843 |     101      212      636 |      475      300     12 |           0  -      323268 |  0.010 %  |
|         0 |    664843 |     101      212      636 |      475      371     12 |           0  -      325471 |  0.010 %  |
|         3 |    664843 |     101      212      636 |      475      317     10 |           0  -      326754 |  0.010 %  |
|         1 |    664843 |     101      212      636 |      475      342     11 |           0  -      327980 |  0.010 %  |
|         0 |    997368 |     101      212      636 |      522      308     10 |           0  -      479273 |  0.010 %  |
|         2 |    997368 |     101      212      636 |      522      345     12 |           0  -      480895 |  0.010 %  |
|         3 |    997368 |     101      212      636 |      522      486     12 |           0  -      485192 |  0.010 %  |
|         1 |    997368 |     101      212      636 |      522      533     13 |           0  -      488118 |  0.010 %  |
|         0 |   1496156 |     101      212      636 |      575      541     12 |           0  -      703523 |  0.010 %  |
|         2 |   1496156 |     101      212      636 |      575      489     12 |           0  -      708433 |  0.010 %  |
|         3 |   1496156 |    
